automata_inclusion 8
bool_comb 37
email_filter 216
ltl_afa 525
noodler 2446
stranger_afa 3792
automata_inclusion 117
bool_comb 639
email_filter 328
ltl_afa 4295
noodler 5723
stranger_afa 1340
automata_inclusion 17
bool_comb 235
email_filter 101
ltl_afa 4287
noodler 3186
stranger_afa 3565
automata_inclusion 101
bool_comb 178
email_filter 149
ltl_afa 6028
noodler 485
stranger_afa 180
automata_inclusion 100
bool_comb 449
email_filter 395
ltl_afa 846
noodler 11197
stranger_afa 2713
automata_inclusion 82
bool_comb 207
email_filter 291
ltl_afa 6388
noodler 4846
stranger_afa 2659
automata_inclusion 47
bool_comb 259
email_filter 499
ltl_afa 1578
noodler 5675
stranger_afa 2299
automata_inclusion 33
bool_comb 49
email_filter 114
ltl_afa 2746
noodler 5444
stranger_afa 2
automata_inclusion 37
bool_comb 388
email_filter 94
ltl_afa 5608
noodler 4243
stranger_afa 579
automata_inclusion 111
bool_comb 226
email_filter 246
ltl_afa 858
noodler 10619
stranger_afa 3871
automata_inclusion 95
bool_comb 219
email_filter 171
ltl_afa 4752
noodler 11160
stranger_afa 4055
automata_inclusion 87
bool_comb 230
email_filter 486
ltl_afa 1557
noodler 9447
stranger_afa 3667
automata_inclusion 98
bool_comb 572
email_filter 280
ltl_afa 6607
noodler 12282
stranger_afa 3145
automata_inclusion 30
bool_comb 381
email_filter 218
ltl_afa 6391
noodler 10239
stranger_afa 2476
automata_inclusion 85
bool_comb 492
email_filter 420
ltl_afa 5696
noodler 13203
stranger_afa 3639
automata_inclusion 113
bool_comb 485
email_filter 231
ltl_afa 1527
noodler 227
stranger_afa 1169
automata_inclusion 11
bool_comb 66
email_filter 372
ltl_afa 5462
noodler 13183
stranger_afa 635
automata_inclusion 77
bool_comb 273
email_filter 438
ltl_afa 5129
noodler 3582
stranger_afa 3791
automata_inclusion 135
bool_comb 243
email_filter 408
ltl_afa 2935
noodler 10186
stranger_afa 3833
automata_inclusion 42
bool_comb 514
email_filter 333
ltl_afa 2572
noodler 11940
stranger_afa 3460
automata_inclusion 28
bool_comb 148
email_filter 48
ltl_afa 2449
noodler 6288
stranger_afa 3500
automata_inclusion 61
bool_comb 344
email_filter 427
ltl_afa 6310
noodler 4026
stranger_afa 475
automata_inclusion 74
bool_comb 271
email_filter 409
ltl_afa 5318
noodler 5604
stranger_afa 3023
automata_inclusion 108
bool_comb 648
email_filter 267
ltl_afa 5351
noodler 5761
stranger_afa 2004
automata_inclusion 36
bool_comb 390
email_filter 367
ltl_afa 3651
noodler 10332
stranger_afa 632
automata_inclusion 1
bool_comb 141
email_filter 129
ltl_afa 1073
noodler 5598
stranger_afa 1779
automata_inclusion 43
bool_comb 174
email_filter 28
ltl_afa 5788
noodler 11245
stranger_afa 3616
automata_inclusion 21
bool_comb 509
email_filter 345
ltl_afa 2809
noodler 13519
stranger_afa 2575
automata_inclusion 89
bool_comb 262
email_filter 37
ltl_afa 1480
noodler 2887
stranger_afa 1619
automata_inclusion 50
bool_comb 263
email_filter 299
ltl_afa 2050
noodler 2541
stranger_afa 2459
automata_inclusion 22
bool_comb 102
email_filter 394
ltl_afa 5822
noodler 290
stranger_afa 28
automata_inclusion 4
bool_comb 614
email_filter 126
ltl_afa 4601
noodler 1018
stranger_afa 578
